Week,Price
0,29.9
1,30.25
2,30.75
3,30.15
4,30.95
5,30.95
6,30.8
7,31.1
8,31.2
9,31.75
10,31.4
11,30.5
12,29.8
13,30
14,30.5
15,31.05
16,30.65
17,30.85
18,31.65
19,31.9
20,32.4
21,32.9
22,32.5
